disciplina;professor;curso;inicio;fim;sala
Biologia Geral;Crisliane Aparecida;Engenharia Sanitária e Ambiental;07:30;08:20;Sala 5
Biologia Geral;Crisliane Aparecida;Engenharia Sanitária e Ambiental;08:20;09:10;Sala 5
Biologia Geral;Crisliane Aparecida;Engenharia Sanitária e Ambiental;09:10;10:00;Sala 5
Biologia Geral;Crisliane Aparecida;Engenharia Sanitária e Ambiental;10:00;10:50;Sala 5
Química Geral;Fabiana da Silva;Engenharia Sanitária e Ambiental;10:50;11:40;Sala 5
Química Geral;Fabiana da Silva;Engenharia Sanitária e Ambiental;11:40;12:30;Sala 5
Química Geral;Fabiana da Silva;Engenharia Sanitária e Ambiental;13:30;14:20;Sala 5
Química Geral;Fabiana da Silva;Engenharia Sanitária e Ambiental;14:20;15:10;Sala 5
Topografia;Luis Figueroa;Engenharia Sanitária e Ambiental;07:30;08:20;SALA 11
Topografia;Luis Figueroa;Engenharia Sanitária e Ambiental;08:20;09:10;SALA 11
Topografia;Luis Figueroa;Engenharia Sanitária e Ambiental;09:10;10:00;SALA 05
Topografia;Luis Figueroa;Engenharia Sanitária e Ambiental;10:00;10:50;SALA 05
Legislação Ambiental e Sanitária;Cristiane Crispim;Engenharia Sanitária e Ambiental;10:50;11:40;SALA 05
Mecânica dos Solos;Fabrício Ribeiro ;Engenharia Sanitária e Ambiental;07:30;08:20;sala 4
Mecânica dos Solos;Fabrício Ribeiro ;Engenharia Sanitária e Ambiental;08:20;09:10;sala 4
Mecânica dos Solos;Fabrício Ribeiro ;Engenharia Sanitária e Ambiental;09:10;10:00;sala 4
Mecânica dos Solos;Fabrício Ribeiro ;Engenharia Sanitária e Ambiental;10:00;10:50;sala 4
Hidráulica I;Fabrício Ribeiro ;Engenharia Sanitária e Ambiental;10:50;11:40;sala 1
Hidráulica I;Fabrício Ribeiro ;Engenharia Sanitária e Ambiental;11:40;12:30;sala 1
Hidráulica I;Fabrício Ribeiro ;Engenharia Sanitária e Ambiental;13:30;14:20;sala 1
Hidráulica I;Fabrício Ribeiro ;Engenharia Sanitária e Ambiental;14:20;15:10;sala 1
Hidrologia e Solo;Jessica Almeida ;Engenharia Sanitária e Ambiental;07:30;08:20;LAB II - BIO
Hidrologia e Solo;Jessica Almeida ;Engenharia Sanitária e Ambiental;08:20;09:10;LAB II - BIO
Hidrologia e Solo;Jessica Almeida ;Engenharia Sanitária e Ambiental;09:10;10:00;LAB II - BIO
Hidrologia e Solo;Jessica Almeida ;Engenharia Sanitária e Ambiental;10:00;10:50;LAB II - BIO
imagem e Controle de Enchentes;Jessica Almeida ;Engenharia Sanitária e Ambiental;10:50;11:40;LAB I - BIO
imagem e Controle de Enchentes;Jessica Almeida ;Engenharia Sanitária e Ambiental;11:40;12:30;LAB I - BIO
imagem e Controle de Enchentes;Jessica Almeida ;Engenharia Sanitária e Ambiental;13:30;14:20;LAB I - BIO
